Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
NVDA,https://www.tradingview.com/chart/?symbol=NVDA,NVIDIA Corporation,Technology,215.77,5226165174272,85.2,214.5,19.85,8.71,42.3,202.07,188.24,True,True,True,BULLISH TREND,False,59.31,NEUTRAL,5,Marvell stock extends gains after a 32% pop as Nvidia CEO calls chipmaker 'the next trillion-dollar company' | Portfolio manager explains why Sanmina Corp. is a good buy | How Nio Is Proving It's a Top Auto Stock Despite Brutal the Price War,33.04,17.08,46335873024.0,6.555,114.29,62.97,87.84,BUY SIGNAL
GOOGL,https://www.tradingview.com/chart/?symbol=GOOGL,Alphabet Inc.,Communication Services,360.76,4370767544320,21.8,82.0,18.92,-5.87,14.59,351.35,302.15,True,True,True,BUY THE DIP,False,45.98,NEUTRAL,5,"Broadcom stock hovers at all-time highs ahead of earnings | Alphabet's $80 billion stock sale shows how expensive AI is getting: Chart of the Day | Stock market today: Dow, S&P 500, Nasdaq build on records as investors eye AI boom, US-Iran tensions",27.54,24.89,27921750016.0,20.026,38.88,37.92,86.18,BUY SIGNAL
GOOG,https://www.tradingview.com/chart/?symbol=GOOG,Alphabet Inc.,Communication Services,356.965,4324971249664,21.8,82.0,17.68,-5.97,12.15,348.74,301.83,True,True,True,BUY THE DIP,False,45.98,NEUTRAL,5,"Broadcom stock hovers at all-time highs ahead of earnings | Alphabet's $80 billion stock sale shows how expensive AI is getting: Chart of the Day | Stock market today: Dow, S&P 500, Nasdaq build on records as investors eye AI boom, US-Iran tensions",27.21,24.63,27921750016.0,20.026,38.88,37.92,86.18,BUY SIGNAL
CF,https://www.tradingview.com/chart/?symbol=CF,"CF Industries Holdings, Inc.",Basic Materials,116.875,17955422208,19.4,115.1,10.4,-6.78,35.68,123.01,96.88,False,True,True,BUY THE DIP,False,60.53,POSITIVE,5,Dow Features Next-Gen AI Thermal Technologies at COMPUTEX Taipei | Are Investors Undervaluing CF Industries (CF) Right Now? | ATI Scales Fresh 52-Week High: What's Driving the Stock?,10.53,10.53,1076375040.0,43.847,27.3,23.73,85.89,BUY SIGNAL
TER,https://www.tradingview.com/chart/?symbol=TER,"Teradyne, Inc.",Technology,404.85,63376093184,87.0,314.8,33.13,20.02,61.61,353.94,237.88,True,True,True,BULLISH TREND,False,57.43,NEUTRAL,5,"1 Large-Cap Stock Worth Your Attention and 2 We Avoid | Top Wide-Moat Stocks to Buy for Steady Long-Term Returns | Zacks.com featured highlights include Micron, Credo and Teradyne",75.25,42.56,298311264.0,2.621,28.75,22.55,83.54,BUY SIGNAL
KEYS,https://www.tradingview.com/chart/?symbol=KEYS,"Keysight Technologies, Inc.",Technology,351.39,59995803648,31.5,35.6,16.15,0.01,44.95,332.42,236.62,True,True,True,BULLISH TREND,False,55.11,NEUTRAL,5,Can Keysight's New RF Wireless Testing Solutions Drive Future Growth? | SNPS Rises 8.2% YTD: Should Investors Hold or Fold the Stock? | The AI Double-Tap That Lit Up Cadence,56.68,29.64,1143250048.0,43.579,18.17,17.31,83.26,BUY SIGNAL
ROST,https://www.tradingview.com/chart/?symbol=ROST,"Ross Stores, Inc.",Consumer Cyclical,230.43,74531414016,20.6,37.4,16.84,1.95,66.88,222.36,185.94,True,True,True,BULLISH TREND,False,54.59,NEUTRAL,5,"The Zacks Analyst Blog Highlights Microchip, Ross Stores, MasTec, Arrow and Littelfuse | How Is TJX Companies' Stock Performance Compared to Other Consumer Cyclical Stocks? | Softline Retailers Likely to Benefit From US Data Center Boom, UBS Says",32.18,26.9,2044547840.0,74.911,38.98,9.74,83.22,BUY SIGNAL
GEV,https://www.tradingview.com/chart/?symbol=GEV,GE Vernova Inc.,Industrials,964.785,259257024512,16.3,1816.5,14.65,-10.16,34.7,1006.45,752.79,False,True,True,BUY THE DIP,False,70.16,POSITIVE,5,Watch 3 AI-Powered Nuclear Energy OEMs Amid Double-Digit Price Upside | GE Vernova Inc. (GEV) is Attracting Investor Attention: Here is What You Should Know | Can GE Vernova Benefit From the Global Gas Turbine Supply Crunch?,28.19,39.36,9315624960.0,24.925,75.71,23.81,83.01,BUY SIGNAL
AFL,https://www.tradingview.com/chart/?symbol=AFL,Aflac Incorporated,Financial Services,116.26,59174584320,27.9,3860.0,3.94,3.12,54.72,113.03,109.84,True,True,True,BULLISH TREND,False,60.52,POSITIVE,5,"Piper Sandler Raises Aflac (AFL) Price Target, Favors Insurance Carriers over Brokers | Why Is Aflac (AFL) Down 0.9% Since Last Earnings Report? | A Fresh Look At Aflac (AFL) Valuation As Investor Interest Picks Up",13.29,15.29,4923125248.0,48.276,16.47,25.6,82.94,BUY SIGNAL
WDC,https://www.tradingview.com/chart/?symbol=WDC,Western Digital Corporation,Technology,591.89,204013912064,45.5,482.9,136.29,33.8,77.36,414.11,237.78,True,True,True,WATCH - OVERBOUGHT,False,60.01,POSITIVE,5,"Micron Stock's Next Leg Higher Could Hinge On A New Kind of Deal | Zacks Industry Outlook Highlights Western Digital, Sandisk and Netlist | Top Stock Picks for Week of June 1, 2026",35.4,33.55,2075000064.0,17.81,85.92,55.29,82.8,BUY SIGNAL
VRT,https://www.tradingview.com/chart/?symbol=VRT,Vertiv Holdings Co,Industrials,334.27,128396042240,30.1,135.7,36.78,1.0,34.11,311.59,214.17,True,True,True,BULLISH TREND,False,53.54,NEUTRAL,5,Can AI Data Center Demand Accelerate nVent Electric's Revenue Growth? | Nvidia Is Giving These 6 Stocks a Boost. Not One Is a Chip Maker. | The Boring Sector Quietly Powering the Entire AI Revolution,83.99,37.83,1964749952.0,76.913,45.1,14.37,82.73,BUY SIGNAL
